transaction_text,category
AIIMS #1611,Healthcare
Barista #4500,Coffee & Dining
Punjab National Bank ATM #9882,Cash Withdrawal
Xiaomi Store #3115,Electronics
Akshaya Patra #7113,Donations
HelpAge India #2133,Donations
YouTube Premium #3193,Entertainment
Barista #4403,Coffee & Dining
Cable TV Bill #3443,Bills & Utilities
Expedia #3008,Travel
Amazon Fresh #5904,Groceries
Axis ATM #4976,Cash Withdrawal
Myntra #1311,Shopping
Ola #3650,Transport
Gas Bill #1637,Bills & Utilities
HDFC ATM #5063,Cash Withdrawal
Max Life #1272,Insurance
Netflix #8463,Entertainment
Rapido #4193,Transport
Target Electronics #6865,Electronics
Hyatt #9131,Travel
Vedantu #3127,Education
Spotify #8128,Entertainment
Chegg #3295,Education
Dunzo #8771,Food Delivery
Costa Coffee #2314,Coffee & Dining
YouTube Premium #7632,Entertainment
Child Rights and You #5661,Donations
Airbnb #4196,Travel
Grab #4402,Transport
Save the Children #4597,Donations
Burger King #9809,Coffee & Dining
Akshaya Patra #9661,Donations
Subway #7307,Coffee & Dining
BP #1604,Fuel
Coursera #8466,Education
SonyLIV #9569,Entertainment
Save the Children #9552,Donations
Uber Eats #9791,Food Delivery
ICICI Prudential #3438,Insurance
Lidl #2204,Groceries
Max Life #4284,Insurance
SonyLIV #7481,Entertainment
Axis ATM #5480,Cash Withdrawal
Zara #6546,Shopping
Grubhub #5762,Food Delivery
Foodpanda #3419,Food Delivery
Chevron #3499,Fuel
Amazon Fresh #2172,Groceries
Spotify #9994,Entertainment
Canara Bank ATM #4549,Cash Withdrawal
Grofers #2026,Groceries
Walmart #6307,Shopping
Hyatt #8365,Travel
Total Petrol #5503,Fuel
HDFC ATM #4465,Cash Withdrawal
Just Eat #6108,Food Delivery
Foodpanda #5115,Food Delivery
Ola #6573,Transport
Adidas #2772,Shopping
Chegg #7397,Education
Adidas #7617,Shopping
HDFC Insurance #2754,Insurance
AIIMS #6888,Healthcare
Uber #8305,Transport
Shell Petrol #4116,Fuel
Red Cross #9749,Donations
Internet Bill #5276,Bills & Utilities
Dominos #7303,Coffee & Dining
Apollo Pharmacy #9535,Healthcare
Red Cross #4085,Donations
edX #9055,Education
Lyft #7476,Transport
Akshaya Patra #5549,Donations
ICICI ATM #3751,Cash Withdrawal
Spotify #3403,Entertainment
Samsung Store #7113,Electronics
Broadband Bill #9561,Bills & Utilities
Akshaya Patra #2617,Donations
Gojek #9745,Transport
Walmart #8896,Shopping
Tata AIA #2743,Insurance
Starbucks #1119,Coffee & Dining
Save the Children #1508,Donations
Aditya Birla Sun Life #5025,Insurance
Deliveroo #4963,Food Delivery
BigBasket #8637,Groceries
DoorDash #5157,Food Delivery
Just Eat #3315,Food Delivery
Canara Bank ATM #7736,Cash Withdrawal
McDonalds #9300,Coffee & Dining
Zara #3113,Shopping
Child Rights and You #1522,Donations
Bajaj Allianz #8175,Insurance
Zomato #3956,Food Delivery
BigBasket #5558,Groceries
OnePlus Store #8255,Electronics
Grubhub #9408,Food Delivery
Aditya Birla Sun Life #6614,Insurance
Zee5 #4416,Entertainment
HP Petrol #4042,Fuel
Indian Oil #8076,Fuel
Grab #9222,Transport
SBI ATM #3361,Cash Withdrawal
Deliveroo #6858,Food Delivery
BPCL #8938,Fuel
Red Cross #9109,Donations
Best Buy Electronics #4742,Electronics
Spotify #1029,Entertainment
Max Hospital #6715,Healthcare
Target Electronics #3423,Electronics
Akshaya Patra #5654,Donations
OYO #6197,Travel
Disney+ #6565,Entertainment
Child Rights and You #5733,Donations
ICICI ATM #5139,Cash Withdrawal
Pharmeasy #8345,Healthcare
Apollo Pharmacy #3225,Healthcare
Booking.com #2510,Travel
Big Bazaar #9863,Shopping
Mobile Recharge #6785,Bills & Utilities
Apple Store #8910,Electronics
Reliance Fresh #5414,Groceries
Just Eat #9070,Food Delivery
edX #1362,Education
Hilton #2074,Travel
Bajaj Allianz #3892,Insurance
Gojek #9030,Transport
Tesco #8002,Groceries
Broadband Bill #7025,Bills & Utilities
Taj Hotels #8697,Travel
Lyft #7728,Transport
Xiaomi Store #2254,Electronics
SBI ATM #8973,Cash Withdrawal
Nike #7673,Shopping
Flipkart #8767,Shopping
MakeMyTrip #3428,Travel
Hilton #3137,Travel
Dominos #1658,Coffee & Dining
Khan Academy #1485,Education
ICICI Prudential #6487,Insurance
Internet Bill #6600,Bills & Utilities
Just Eat #5849,Food Delivery
Landline Bill #9598,Bills & Utilities
Khan Academy #9496,Education
Max Life #3777,Insurance
Auto Rickshaw #1973,Transport
Axis ATM #7936,Cash Withdrawal
Tesco #8726,Groceries
edX #7792,Education
Kotak ATM #4593,Cash Withdrawal
Axis ATM #4950,Cash Withdrawal
Swiggy #8973,Food Delivery
Best Buy Electronics #6045,Electronics
Cafe Coffee Day #1154,Coffee & Dining
Amazon Fresh #3055,Groceries
Shell Petrol #9969,Fuel
OYO #3817,Travel
Walmart Electronics #6998,Electronics
Red Cross #8196,Donations
Just Eat #1101,Food Delivery
MakeMyTrip #7228,Travel
KFC #8840,Coffee & Dining
Xiaomi Store #3857,Electronics
Best Buy Electronics #1635,Electronics
Foodpanda #8958,Food Delivery
Unacademy #7110,Education
Total Petrol #3816,Fuel
Big Bazaar #1393,Shopping
Samsung Store #8972,Electronics
Bolt #6167,Transport
edX #2368,Education
Aldi #2805,Groceries
Bank of Baroda ATM #4358,Cash Withdrawal
Child Rights and You #9976,Donations
Landline Bill #6688,Bills & Utilities
Dominos #9076,Coffee & Dining
Netmeds #9922,Healthcare
Max Life #8589,Insurance
LIC #1193,Insurance
Walmart Grocery #9509,Groceries
Tata AIA #7481,Insurance
Taxi #5223,Transport
GiveIndia #9665,Donations
Shell Petrol #9253,Fuel
HDFC ATM #2176,Cash Withdrawal
Canara Bank ATM #3666,Cash Withdrawal
Caltex #5000,Fuel
YouTube Premium #5332,Entertainment
Lyft #3699,Transport
Bajaj Allianz #5649,Insurance
Internet Bill #7674,Bills & Utilities
Quizlet #2359,Education
Netmeds #2667,Healthcare
Punjab National Bank ATM #6033,Cash Withdrawal
Cable TV Bill #7574,Bills & Utilities
Bank of Baroda ATM #3182,Cash Withdrawal
Costa Coffee #5668,Coffee & Dining
Marriott #3577,Travel
Internet Bill #3781,Bills & Utilities
Pharmeasy #9592,Healthcare
Pharmeasy #9497,Healthcare
Apple TV+ #5011,Entertainment
Punjab National Bank ATM #8789,Cash Withdrawal
Netflix #9684,Entertainment
Ola #5842,Transport
Goibibo #4599,Travel
Chevron #4470,Fuel
Marriott #6264,Travel
Flipkart #6028,Shopping
SonyLIV #9136,Entertainment
Spotify #5517,Entertainment
edX #9411,Education
Electricity Bill #6885,Bills & Utilities
Water Bill #5483,Bills & Utilities
Child Rights and You #9003,Donations
UNICEF #5039,Donations
Taj Hotels #5350,Travel
Xiaomi Store #4103,Electronics
Total Petrol #9403,Fuel
Bolt #2356,Transport
Costa Coffee #3144,Coffee & Dining
UNICEF #8354,Donations
Pizza Hut #5406,Coffee & Dining
Bajaj Allianz #4955,Insurance
Rapido #2227,Transport
Amazon Fresh #6381,Groceries
Nike #9756,Shopping
Udemy #8135,Education
Electricity Bill #6917,Bills & Utilities
Deliveroo #9146,Food Delivery
Gojek #6496,Transport
Uber Eats #6352,Food Delivery
Tesco #7093,Groceries
SonyLIV #1068,Entertainment
MakeMyTrip #5600,Travel
Dunzo #6896,Food Delivery
Cable TV Bill #3956,Bills & Utilities
Goibibo #3635,Travel
Electricity Bill #8435,Bills & Utilities
Amazon Electronics #2260,Electronics
Tesco #4668,Groceries
HP Petrol #6117,Fuel
Best Buy Electronics #9790,Electronics
Child Rights and You #2758,Donations
YouTube Premium #5030,Entertainment
Water Bill #5532,Bills & Utilities
H&M #8944,Shopping
Max Life #9870,Insurance
Didi #4686,Transport
HelpAge India #9289,Donations
Udemy #1051,Education
OnePlus Store #7961,Electronics
Quizlet #5837,Education
Toppr #3756,Education
HelpAge India #6131,Donations
Unacademy #5800,Education
Canara Bank ATM #1169,Cash Withdrawal
Zara #9395,Shopping
Landline Bill #6952,Bills & Utilities
McDonalds #1844,Coffee & Dining
IKEA #9844,Shopping
Ola #4007,Transport
Xiaomi Store #4759,Electronics
D-Mart Fresh #5009,Groceries
Costa Coffee #9896,Coffee & Dining
Best Buy Electronics #6731,Electronics
HelpAge India #4570,Donations
D-Mart #8227,Shopping
Uber #1998,Transport
Taj Hotels #5688,Travel
Bajaj Allianz #4890,Insurance
Barista #9703,Coffee & Dining
Taj Hotels #1911,Travel
SBI Life #7384,Insurance
edX #4177,Education
Adidas #4500,Shopping
YouTube Premium #1058,Entertainment
Best Buy Electronics #7280,Electronics
Bajaj Allianz #7338,Insurance
Narayana Health #4107,Healthcare
ExxonMobil #5407,Fuel
Internet Bill #2585,Bills & Utilities
Uber Eats #7567,Food Delivery
Amazon Electronics #5143,Electronics
Udemy #4726,Education
Lyft #3094,Transport
Zara #6505,Shopping
HDFC ATM #4982,Cash Withdrawal
Disney+ #5536,Entertainment
Zee5 #6288,Entertainment
ICICI Prudential #7031,Insurance
ICICI Prudential #6745,Insurance
SonyLIV #3272,Entertainment
Didi #1917,Transport
Costa Coffee #2514,Coffee & Dining
Byju's #9674,Education
Spotify #3947,Entertainment
Manipal Hospital #6370,Healthcare
Zee5 #9134,Entertainment
Tesco #9461,Groceries
Indian Oil #5931,Fuel
Walmart Electronics #8762,Electronics
Pizza Hut #7923,Coffee & Dining
D-Mart #8291,Shopping
Burger King #3457,Coffee & Dining
Akshaya Patra #2923,Donations
Gas Bill #1620,Bills & Utilities
Grofers #9694,Groceries
Barista #2200,Coffee & Dining
MakeMyTrip #2616,Travel
Red Cross #9277,Donations
Target Electronics #5711,Electronics
ICICI Prudential #1528,Insurance
OYO #6796,Travel
Walmart #7497,Shopping
Just Eat #3989,Food Delivery
Punjab National Bank ATM #1669,Cash Withdrawal
Goibibo #2040,Travel
Aldi #8769,Groceries
Auto Rickshaw #9417,Transport
edX #4835,Education
Medlife #4169,Healthcare
Spotify #5563,Entertainment
Axis ATM #2657,Cash Withdrawal
Nike #5265,Shopping
Internet Bill #3803,Bills & Utilities
Walmart #6078,Shopping
Uber Eats #8041,Food Delivery
Rapido #1043,Transport
Taj Hotels #7832,Travel
Internet Bill #3475,Bills & Utilities
Foodpanda #8185,Food Delivery
Chevron #5583,Fuel
Rapido #5430,Transport
Mobile Recharge #3773,Bills & Utilities
Vedantu #9073,Education
Uber Eats #5261,Food Delivery
Hulu #6224,Entertainment
OnePlus Store #8068,Electronics
Spotify #3944,Entertainment
Toppr #1150,Education
Disney+ #3362,Entertainment
HP Petrol #1816,Fuel
Gas Bill #7409,Bills & Utilities
BigBasket #7463,Groceries
Marriott #1677,Travel
Carrefour #5159,Groceries
Walmart Grocery #5863,Groceries
Carrefour #8590,Groceries
Postmates #2952,Food Delivery
Tesco #8065,Groceries
ExxonMobil #9605,Fuel
Flipkart Electronics #7909,Electronics
Akshaya Patra #1747,Donations
Punjab National Bank ATM #2939,Cash Withdrawal
Target #1434,Shopping
Nike #3104,Shopping
Ola #4876,Transport
Walmart #1876,Shopping
Uber Eats #7695,Food Delivery
Reliance Fresh #5386,Groceries
Internet Bill #1288,Bills & Utilities
Xiaomi Store #4476,Electronics
ICICI Prudential #7839,Insurance
Airbnb #9938,Travel
UNICEF #2079,Donations
Apple TV+ #8027,Entertainment
YouTube Premium #9446,Entertainment
IKEA #5734,Shopping
Spotify #2871,Entertainment
Medlife #7719,Healthcare
Gojek #8445,Transport
Max Hospital #2739,Healthcare
Unacademy #9388,Education
Uber #4938,Transport
Save the Children #5504,Donations
Red Cross #5321,Donations
D-Mart #5281,Shopping
Amazon Electronics #1957,Electronics
Subway #9369,Coffee & Dining
Byju's #4795,Education
Udemy #4595,Education
UNICEF #5179,Donations
Tesco #8144,Groceries
Fortis Hospital #1723,Healthcare
Gojek #1383,Transport
Child Rights and You #7361,Donations
Apple Store #7559,Electronics
Chegg #5567,Education
Zomato #1071,Food Delivery
Quizlet #4148,Education
Netflix #5784,Entertainment
Taj Hotels #1093,Travel
Swiggy #3227,Food Delivery
Gas Bill #5634,Bills & Utilities
Chevron #5069,Fuel
Netmeds #8417,Healthcare
Foodpanda #8712,Food Delivery
Hyatt #3329,Travel
BigBasket #6612,Groceries
Hotstar #8901,Entertainment
Axis ATM #2353,Cash Withdrawal
Gas Bill #1111,Bills & Utilities
Netflix #9627,Entertainment
UNICEF #9394,Donations
ICICI ATM #6606,Cash Withdrawal
Netflix #6788,Entertainment
Total Petrol #7671,Fuel
Coursera #9776,Education
Dunzo #3973,Food Delivery
Zee5 #1500,Entertainment
Booking.com #3745,Travel
Child Rights and You #3438,Donations
Internet Bill #3064,Bills & Utilities
Cable TV Bill #9597,Bills & Utilities
Electricity Bill #5808,Bills & Utilities
Punjab National Bank ATM #9585,Cash Withdrawal
IKEA #4915,Shopping
Zomato #8882,Food Delivery
Total Petrol #3090,Fuel
Shell Petrol #8099,Fuel
Dominos #7471,Coffee & Dining
IKEA #3793,Shopping
Internet Bill #7159,Bills & Utilities
Unacademy #1772,Education
GiveIndia #1804,Donations
Manipal Hospital #7833,Healthcare
GiveIndia #4824,Donations
GiveIndia #2583,Donations
Reliance Fresh #5079,Groceries
SBI ATM #3888,Cash Withdrawal
ICICI ATM #6431,Cash Withdrawal
Taxi #6803,Transport
Netmeds #2376,Healthcare
Aditya Birla Sun Life #1527,Insurance
Cable TV Bill #6471,Bills & Utilities
Zara #3671,Shopping
Aldi #7026,Groceries
Didi #9863,Transport
D-Mart #3280,Shopping
Disney+ #9804,Entertainment
Expedia #2062,Travel
Tesco #4289,Groceries
Mobile Recharge #5126,Bills & Utilities
Unacademy #2816,Education
Deliveroo #8364,Food Delivery
Caltex #3246,Fuel
Save the Children #3091,Donations
Airbnb #4092,Travel
Best Buy Electronics #7027,Electronics
Akshaya Patra #7721,Donations
UNICEF #8567,Donations
Max Life #3857,Insurance
Lyft #4061,Transport
Amazon Prime #6873,Entertainment
edX #3230,Education
Gas Bill #2863,Bills & Utilities
Red Cross #4113,Donations
Target Electronics #1691,Electronics
Tata AIA #4332,Insurance
Goibibo #4642,Travel
Myntra #4903,Shopping
Dunzo #7638,Food Delivery
HDFC ATM #6458,Cash Withdrawal
Akshaya Patra #3168,Donations
D-Mart Fresh #3528,Groceries
Xiaomi Store #9961,Electronics
Amazon Electronics #1354,Electronics
Shell Petrol #2860,Fuel
Max Life #7846,Insurance
Cable TV Bill #2637,Bills & Utilities
SBI Life #6689,Insurance
Broadband Bill #4702,Bills & Utilities
Netmeds #1386,Healthcare
IKEA #9488,Shopping
Uber #2651,Transport
Max Life #2785,Insurance
Broadband Bill #7955,Bills & Utilities
Amazon Fresh #3853,Groceries
Broadband Bill #8850,Bills & Utilities
UNICEF #8085,Donations
Hilton #6131,Travel
Myntra #3666,Shopping
Netflix #7420,Entertainment
Tesco #5494,Groceries
Lidl #2255,Groceries
Pizza Hut #8747,Coffee & Dining
BigBasket #1561,Groceries
Flipkart Electronics #2395,Electronics
Max Life #6931,Insurance
Narayana Health #9389,Healthcare
SonyLIV #2192,Entertainment
Caltex #2162,Fuel
Chevron #7502,Fuel
Medlife #6461,Healthcare
Rapido #2270,Transport
Mobile Recharge #1313,Bills & Utilities
Caltex #9306,Fuel
Internet Bill #6830,Bills & Utilities
KFC #7776,Coffee & Dining
OYO #4215,Travel
Barista #3755,Coffee & Dining
Axis ATM #6542,Cash Withdrawal
Gas Bill #6246,Bills & Utilities
SonyLIV #8267,Entertainment
Cafe Coffee Day #7429,Coffee & Dining
Burger King #9588,Coffee & Dining
IKEA #5651,Shopping
Chevron #2587,Fuel
Uber #3106,Transport
Axis ATM #2148,Cash Withdrawal
Apple Store #6025,Electronics
ICICI ATM #2400,Cash Withdrawal
Flipkart Electronics #4518,Electronics
MakeMyTrip #4036,Travel
SBI ATM #6088,Cash Withdrawal
Bajaj Allianz #9380,Insurance
Walmart Electronics #6943,Electronics
Netflix #6008,Entertainment
Akshaya Patra #5327,Donations
OYO #9134,Travel
BigBasket #9326,Groceries
Water Bill #5271,Bills & Utilities
Udemy #1644,Education
Postmates #5806,Food Delivery
Amazon #5982,Shopping
Burger King #1735,Coffee & Dining
Target Electronics #8393,Electronics
YouTube Premium #5783,Entertainment
SBI Life #8317,Insurance
Flipkart Electronics #8407,Electronics
Postmates #9813,Food Delivery
DoorDash #9593,Food Delivery
Starbucks #8670,Coffee & Dining
Shell Petrol #6986,Fuel
ExxonMobil #2505,Fuel
HelpAge India #9792,Donations
SonyLIV #4452,Entertainment
Marriott #3487,Travel
BookMyShow #4169,Entertainment
Water Bill #7020,Bills & Utilities
Hotstar #6657,Entertainment
Reliance Trends #1381,Shopping
Rapido #8291,Transport
Myntra #8022,Shopping
SonyLIV #6939,Entertainment
Akshaya Patra #9372,Donations
Burger King #1222,Coffee & Dining
Myntra #8203,Shopping
YouTube Premium #9878,Entertainment
Kotak ATM #4236,Cash Withdrawal
Costa Coffee #3318,Coffee & Dining
SonyLIV #3179,Entertainment
Hyatt #3294,Travel
Unacademy #5398,Education
Xiaomi Store #4414,Electronics
AIIMS #5729,Healthcare
Goibibo #9906,Travel
Medlife #4478,Healthcare
Postmates #9415,Food Delivery
Caltex #5675,Fuel
Costa Coffee #8209,Coffee & Dining
Hilton #5857,Travel
Walmart Electronics #3487,Electronics
Zomato #2434,Food Delivery
Internet Bill #7404,Bills & Utilities
Barista #6570,Coffee & Dining
Toppr #2009,Education
Reliance Fresh #5928,Groceries
DoorDash #3970,Food Delivery
Aldi #3676,Groceries
YouTube Premium #4955,Entertainment
Target Electronics #6497,Electronics
Byju's #5743,Education
Goibibo #3844,Travel
Mobile Recharge #1195,Bills & Utilities
McDonalds #1208,Coffee & Dining
Byju's #9051,Education
Landline Bill #4027,Bills & Utilities
Hilton #2299,Travel
SBI Life #5654,Insurance
Dunzo #8376,Food Delivery
Medlife #2507,Healthcare
Bajaj Allianz #6887,Insurance
Burger King #5137,Coffee & Dining
Landline Bill #8429,Bills & Utilities
Didi #8256,Transport
Apollo Pharmacy #8837,Healthcare
Costa Coffee #4810,Coffee & Dining
Electricity Bill #3603,Bills & Utilities
Medlife #6815,Healthcare
Costa Coffee #8748,Coffee & Dining
Shell Petrol #9687,Fuel
Lyft #6950,Transport
Internet Bill #3321,Bills & Utilities
Xiaomi Store #9596,Electronics
Shell Petrol #6273,Fuel
HP Petrol #9568,Fuel
Auto Rickshaw #2210,Transport
ICICI Prudential #5882,Insurance
Ola #3010,Transport
DoorDash #2713,Food Delivery
SBI ATM #2372,Cash Withdrawal
Dominos #9201,Coffee & Dining
Amazon Prime #5579,Entertainment
Samsung Store #4536,Electronics
H&M #3687,Shopping
Electricity Bill #3942,Bills & Utilities
Swiggy #9534,Food Delivery
Walmart #8380,Shopping
Hulu #6436,Entertainment
Grofers #6886,Groceries
Dominos #3815,Coffee & Dining
Khan Academy #9913,Education
GiveIndia #6741,Donations
Total Petrol #3424,Fuel
Flipkart #3673,Shopping
Amazon Fresh #3313,Groceries
Grab #2450,Transport
ICICI Prudential #6303,Insurance
BigBasket #7786,Groceries
Grubhub #1562,Food Delivery
D-Mart Fresh #6027,Groceries
Goibibo #9787,Travel
D-Mart #8375,Shopping
Flipkart Electronics #7005,Electronics
Goibibo #6637,Travel
edX #9941,Education
Electricity Bill #8023,Bills & Utilities
Flipkart #5875,Shopping
Pharmeasy #3996,Healthcare
edX #4954,Education
Flipkart Electronics #2471,Electronics
Walmart Grocery #1266,Groceries
MakeMyTrip #1046,Travel
Landline Bill #9125,Bills & Utilities
Cable TV Bill #3238,Bills & Utilities
Expedia #4206,Travel
ExxonMobil #1786,Fuel
Walmart Grocery #6891,Groceries
Subway #4346,Coffee & Dining
Lidl #9441,Groceries
Goibibo #9715,Travel
Grab #2751,Transport
HDFC ATM #4976,Cash Withdrawal
Manipal Hospital #1555,Healthcare
ICICI ATM #2061,Cash Withdrawal
Akshaya Patra #7262,Donations
GiveIndia #6540,Donations
Shell Petrol #5015,Fuel
Subway #6804,Coffee & Dining
LIC #3235,Insurance
Coursera #9409,Education
Rapido #7848,Transport
